,Age,Workclass,Education,Years of Education,Marital Status,Occupation,Role in Family,Race,Gender,Workhours per Week,Native Country,Income
58,38,2,2,13,3,11,1,4,0,45,1,1
59,33,2,1,11,2,2,1,4,1,42,1,1
60,43,2,0,12,0,2,1,4,1,70,1,1
61,50,3,6,7,3,3,2,4,1,40,1,1
62,44,2,11,10,1,0,5,4,0,6,1,1
63,51,3,2,13,1,11,0,1,1,40,0,1
64,41,2,10,15,1,9,0,4,1,40,1,1
65,60,3,1,11,1,6,0,4,1,70,1,1
66,37,2,7,14,1,3,0,4,1,60,1,1
67,55,3,10,15,1,9,0,4,1,35,0,1
68,39,3,2,13,1,11,0,4,1,60,1,1
69,42,3,10,15,1,9,0,4,1,60,1,1
70,49,2,2,13,1,11,0,4,1,55,1,1
71,47,3,5,9,1,3,0,4,1,50,1,1
72,41,0,10,15,1,9,0,4,1,45,1,1
73,55,3,2,13,1,3,0,4,1,50,1,1
74,39,2,7,14,1,3,5,4,0,65,1,1
75,42,2,2,13,1,3,0,4,1,60,1,1
76,41,2,1,11,1,2,0,4,1,12,1,1
77,46,2,7,14,1,11,0,4,1,65,1,1
78,40,2,7,14,1,3,0,4,1,45,1,1
79,32,2,2,13,1,9,0,4,1,48,1,1
80,41,3,11,10,1,3,0,4,1,55,1,1
81,60,3,10,15,1,9,0,4,1,80,1,1
82,31,2,7,14,1,3,0,4,1,70,0,1
83,58,3,11,10,1,4,0,4,1,40,1,1
84,37,3,2,13,1,11,0,4,1,50,1,1
85,44,3,2,13,1,3,0,4,1,50,1,1
86,39,3,10,15,1,9,0,4,1,50,1,1
87,43,0,10,15,1,9,0,1,1,55,1,1
88,55,3,2,13,1,3,0,4,1,50,1,1
89,44,3,7,14,1,9,0,4,1,55,1,1
90,39,2,10,15,1,9,0,1,1,67,0,1
91,46,3,2,13,1,11,0,4,1,40,1,1
92,39,2,11,10,1,4,0,4,1,99,1,1
93,62,3,2,13,1,4,0,4,1,60,1,1
94,31,3,5,9,1,7,5,4,0,40,1,1
95,46,2,2,13,1,0,0,1,1,35,0,1
96,46,3,10,15,1,9,0,4,1,80,1,1
97,39,3,1,11,1,2,0,4,1,40,1,1
98,39,2,10,15,1,11,0,4,1,99,1,1
99,59,2,3,16,1,9,0,4,1,45,1,1
100,50,3,10,15,1,9,0,4,1,60,1,1
101,46,2,3,16,1,9,0,4,1,55,1,1
102,53,3,2,13,1,3,0,4,1,40,1,1
103,50,3,10,15,1,9,0,4,1,30,1,1
104,41,3,10,15,1,3,5,4,0,55,1,1
105,36,2,2,13,1,11,0,4,1,45,1,1
106,38,2,10,15,1,9,0,4,1,90,1,1
107,54,2,11,10,1,11,0,4,1,50,1,1
108,50,2,2,13,1,3,5,4,0,20,1,1
109,47,2,2,13,1,3,0,4,1,60,1,1
110,47,3,10,15,1,9,0,4,1,45,1,1
111,67,2,2,13,4,3,1,4,1,40,1,1
112,67,3,2,13,1,3,0,4,1,75,1,1
113,72,3,3,16,1,9,0,4,1,25,1,1
114,72,2,3,16,1,9,0,4,1,6,1,1
115,46,3,7,14,1,3,0,4,1,50,1,1
116,78,3,2,13,1,3,0,4,1,40,1,1
117,71,3,2,13,1,3,0,4,1,60,1,1
118,83,3,2,13,1,3,0,4,1,55,1,1
119,68,2,7,14,1,3,0,4,1,40,1,1
120,26,2,1,11,1,0,0,4,1,45,1,0
121,68,0,3,16,1,9,0,4,1,60,1,1
122,49,3,5,9,1,0,5,4,0,40,1,1
123,36,2,5,9,1,9,0,4,1,60,1,0
124,70,3,2,13,1,2,0,4,1,12,1,1
125,27,2,11,10,1,0,5,2,0,20,1,0
126,35,0,11,10,1,3,0,4,1,40,1,0
127,23,2,5,9,1,11,0,4,1,40,1,0
128,81,2,5,9,1,3,0,4,1,26,1,1
129,66,3,3,16,1,11,0,4,1,25,1,1
130,71,2,5,9,1,3,0,4,1,45,1,1
131,68,2,11,10,1,11,0,4,1,55,1,1
132,68,0,7,14,1,9,0,4,1,42,1,1
133,65,2,2,13,1,3,0,4,1,40,1,1
134,52,2,5,9,1,11,0,2,1,40,1,0
135,40,3,0,12,1,2,0,4,1,50,1,0
136,68,2,2,13,1,3,0,4,1,35,1,1
137,21,2,11,10,1,3,0,4,1,48,1,0
138,35,2,5,9,1,2,0,4,1,40,1,0
139,70,3,2,13,1,3,0,4,1,50,1,1
140,61,3,5,9,1,4,0,4,1,50,1,0
141,65,3,5,9,1,4,0,4,1,65,1,0
142,46,2,4,3,0,2,1,4,0,45,1,0
143,26,0,2,13,3,9,1,4,1,55,1,0
144,59,0,5,9,4,4,4,4,1,40,1,0
145,61,2,4,3,3,5,1,2,1,40,1,0
146,60,0,2,13,0,9,1,4,0,40,1,0
147,49,3,11,10,0,3,1,4,1,50,1,0
148,34,2,2,13,1,6,1,1,1,40,1,0
149,25,2,2,13,3,9,3,4,0,35,1,0
150,55,2,11,10,3,0,1,2,0,45,1,0
151,59,0,5,9,2,10,2,2,0,40,1,0
152,28,0,11,10,2,3,3,4,1,40,1,0
153,43,2,1,11,4,2,1,4,0,36,1,0
154,56,3,7,14,0,11,4,4,0,60,1,0
155,41,2,5,9,0,2,1,4,1,40,1,0
156,42,2,5,9,3,0,2,2,0,40,0,0
157,28,2,10,15,3,9,1,4,1,40,0,0
158,40,3,10,15,0,7,1,4,0,35,1,0
159,69,2,2,13,4,9,1,4,1,40,1,1
160,66,0,5,9,1,2,0,4,1,40,1,0
161,69,2,4,3,1,6,0,4,1,40,1,0
162,55,0,7,14,1,9,5,4,0,40,1,0
163,57,0,5,9,3,0,1,4,1,40,1,0
164,20,3,11,10,3,4,3,4,1,10,1,0
165,33,2,5,9,0,2,1,4,1,84,1,0
166,30,3,11,10,3,11,2,1,1,40,0,0
167,40,2,2,13,3,12,1,1,0,48,0,0
168,38,2,11,10,2,6,1,4,1,55,1,1
169,46,0,0,12,0,0,4,4,1,38,1,1
170,29,2,2,13,3,3,1,4,0,45,1,1
171,57,0,2,13,3,0,1,4,1,40,1,0
172,39,2,5,9,3,2,3,4,1,42,1,1
173,47,2,2,13,0,3,1,4,1,40,1,1
174,26,2,2,13,3,3,1,4,1,45,1,1
175,27,3,5,9,3,2,1,4,1,50,1,0
176,23,2,2,13,3,9,3,4,0,40,1,1
177,34,2,7,14,3,9,1,4,1,50,1,0
178,33,2,6,8,0,2,1,4,1,42,1,0
179,38,0,7,14,3,9,1,4,0,60,1,0
180,57,2,11,10,4,0,4,4,0,38,1,1
181,36,2,5,9,3,3,1,4,1,70,1,0
182,44,0,2,13,0,12,1,4,1,40,1,1
183,49,0,3,16,3,3,1,4,0,50,1,1
184,44,3,11,10,3,11,1,4,1,60,1,0
185,55,2,11,10,4,4,1,4,1,62,1,1
186,45,2,5,9,0,4,1,4,1,44,1,1
187,48,2,5,9,0,3,1,4,0,40,1,1
188,31,2,2,13,1,3,0,4,1,45,1,1
189,55,0,5,9,1,9,2,4,0,40,1,1
190,70,3,11,10,1,3,0,4,1,40,1,1
191,70,3,7,14,1,3,0,4,1,8,1,1
192,73,2,2,13,1,9,0,4,1,40,1,1
193,72,3,10,15,1,9,0,4,1,28,1,1
194,31,2,5,9,2,6,4,4,0,40,1,0
195,28,2,6,6,4,0,4,4,0,35,1,0
196,23,3,2,13,3,0,3,4,1,40,1,1
197,49,0,8,5,4,5,4,4,1,40,1,1
198,27,0,11,10,3,10,1,4,1,40,1,1
199,90,2,5,9,3,7,1,2,1,40,1,0
200,68,2,5,9,4,0,1,4,0,30,1,0
201,65,2,5,9,0,0,4,4,0,59,0,0
202,65,2,5,9,4,2,4,4,0,10,1,0
203,67,2,2,13,0,3,1,4,0,5,1,0
204,66,0,2,13,4,9,1,2,0,25,1,0
205,24,2,11,10,3,0,1,4,1,24,1,0
206,44,3,11,10,0,6,1,4,1,35,1,0
207,35,2,11,10,3,0,3,4,0,40,1,0
208,20,2,0,12,3,7,3,4,0,18,1,0
209,38,2,5,9,0,2,1,4,1,40,1,0
210,39,2,11,10,3,7,3,2,0,40,1,0
211,32,2,11,10,3,6,2,4,0,40,0,0
212,42,2,8,4,3,5,1,2,1,40,1,0
213,63,2,5,9,0,2,1,4,0,40,1,0
214,42,3,7,14,0,3,4,1,1,60,0,1
215,64,2,6,7,1,2,0,4,1,40,1,0
216,28,2,8,4,1,5,0,3,1,40,0,0
217,41,3,1,11,1,11,0,3,1,84,0,0
218,41,3,8,4,1,2,0,4,1,40,1,0
219,58,3,4,2,1,13,0,4,1,18,1,0
220,59,0,11,10,1,3,0,4,1,40,1,0
221,34,3,5,9,1,4,5,4,0,12,1,0
222,45,2,5,9,1,13,0,4,1,45,1,0
223,29,2,5,9,1,0,5,4,0,40,1,0
224,47,2,6,6,1,11,0,4,1,52,1,0
225,40,2,11,10,1,6,0,4,1,40,1,0
226,47,3,4,3,1,11,0,4,1,50,0,0
227,63,2,2,13,1,9,0,4,1,45,1,0
228,41,3,5,9,1,5,0,4,1,40,1,0
229,34,2,11,10,1,13,0,2,1,40,1,0
230,66,2,2,13,1,3,0,4,1,40,1,1
231,65,3,11,10,1,3,0,4,1,10,1,1
232,70,2,5,9,1,5,0,4,1,40,1,1
233,75,3,10,15,1,9,0,4,1,50,1,1
234,65,0,5,9,1,0,0,4,1,40,1,1
235,65,0,11,10,1,3,0,2,1,40,1,1
236,73,2,11,10,1,9,0,4,1,50,1,1
237,60,2,2,13,1,9,0,1,1,25,0,0
238,68,3,1,11,1,9,0,4,1,40,1,0
239,74,3,5,9,1,11,0,4,1,20,1,0
240,43,2,4,3,1,6,5,1,0,72,1,0
241,19,3,6,7,1,2,3,4,1,55,1,0
242,37,3,5,9,1,2,0,4,1,40,1,0
243,45,0,0,12,0,0,4,1,1,40,0,0
244,64,2,7,14,1,9,0,1,1,60,0,0
245,30,2,5,9,1,13,0,4,1,40,1,0
246,51,3,11,10,1,9,5,4,0,60,0,0
247,35,2,6,7,1,2,0,4,1,40,1,0
248,29,2,5,9,1,0,5,4,0,20,1,0
249,34,2,11,10,1,0,5,4,0,40,1,0
250,41,2,5,9,1,2,0,4,1,60,1,0
251,35,2,11,10,1,2,0,4,1,45,1,0
252,26,2,11,10,1,0,0,4,1,40,1,0
253,54,2,5,9,1,13,0,4,1,50,1,0
254,52,0,5,9,1,2,0,4,1,40,1,0
255,50,3,5,9,1,4,0,4,1,20,1,0
256,31,2,11,10,1,0,0,4,1,40,1,0
257,38,0,5,9,1,13,0,4,1,40,1,0
258,30,2,11,10,1,2,0,4,1,40,1,0
259,34,0,2,13,1,9,0,4,1,40,1,0
260,31,2,11,10,1,11,0,4,1,57,1,0
261,52,2,5,9,1,6,0,4,1,38,1,0
262,54,2,5,9,1,2,0,4,1,40,1,0
263,38,2,5,9,1,2,0,4,1,44,1,0
264,39,2,5,9,1,6,0,4,1,40,1,0
265,29,2,1,11,1,12,0,4,1,40,1,0
266,45,2,5,9,1,2,0,4,1,40,1,0
267,34,2,5,9,1,13,0,4,1,55,1,0
268,38,2,5,9,1,2,0,4,1,40,0,0
269,39,2,6,6,1,2,0,4,1,40,1,0
270,61,2,5,9,1,2,0,4,1,20,1,0
271,43,2,6,7,1,13,0,4,1,40,1,0
272,35,2,11,10,1,5,0,4,1,40,1,0
273,46,2,11,10,1,11,0,4,1,50,1,0
274,38,2,5,9,1,5,0,4,1,40,1,0
275,42,3,5,9,1,2,0,4,1,48,1,0
276,34,2,0,12,1,12,0,4,1,10,1,0
277,29,2,8,4,1,4,0,4,1,40,1,0
278,32,2,6,7,1,2,0,4,1,30,1,0
279,60,2,5,9,1,10,0,4,1,34,1,0
280,49,0,5,9,1,2,0,4,1,40,1,0
281,53,0,5,9,1,7,0,4,1,45,1,0
282,56,2,8,4,1,5,0,4,1,40,1,0
283,48,2,6,7,1,13,0,4,1,40,1,0
284,32,0,2,13,1,9,0,1,1,40,0,0
285,42,3,5,9,1,2,0,4,1,40,1,0
286,32,2,0,12,1,9,0,4,1,42,1,0
287,28,0,0,12,1,10,0,4,1,40,0,0
288,26,2,1,11,1,2,0,4,1,40,1,0
289,59,2,2,13,1,3,0,4,1,50,1,0
290,47,3,2,13,1,9,0,4,1,30,1,0
291,26,2,2,13,1,9,0,4,1,40,1,0
292,41,2,5,9,1,2,0,4,1,60,1,0
293,36,2,5,9,1,2,3,4,0,40,1,0
294,45,2,2,13,1,11,0,4,1,55,1,0
295,30,2,0,12,1,9,0,4,1,40,1,0
296,36,2,5,9,1,13,0,4,1,40,1,0
297,34,3,5,9,1,3,0,4,1,40,1,0
298,53,2,5,9,1,13,0,4,1,40,1,0
299,51,2,5,9,1,11,0,4,1,45,1,0
300,47,3,3,16,1,13,0,4,1,45,1,0
301,19,2,5,9,3,2,4,4,1,40,1,0
302,30,2,5,9,3,0,4,4,1,42,1,0
303,20,2,5,9,3,7,4,4,1,40,1,0
304,42,0,7,14,0,0,1,4,1,60,1,0
305,31,2,6,7,3,2,1,4,1,40,1,0
306,33,2,2,13,3,5,1,4,1,40,1,0
307,25,2,0,12,3,12,1,4,0,30,1,0
308,20,2,5,9,3,7,1,4,1,40,1,0
309,23,2,5,9,3,0,3,2,1,40,1,0
310,55,2,5,9,2,2,1,2,0,40,1,0
311,41,3,11,10,0,2,1,4,1,50,1,0
312,54,3,5,9,4,2,1,4,1,35,1,0
313,25,2,5,9,3,2,1,4,1,50,1,0
314,19,2,11,10,3,0,3,4,0,40,1,0
315,24,2,5,9,3,0,1,4,0,37,1,0
316,56,0,2,13,3,13,1,2,1,65,1,0
317,21,0,11,10,3,7,1,4,0,40,1,0
318,34,2,5,9,3,6,1,2,1,40,1,0
319,19,2,5,9,3,0,3,4,1,40,1,0
320,21,2,11,10,3,0,1,4,1,45,1,0
321,48,2,5,9,2,0,1,4,0,40,1,0
322,34,2,2,13,3,7,1,4,1,40,1,0
323,31,2,5,9,3,4,1,4,1,40,1,0
324,36,2,5,9,3,7,1,2,0,40,1,0
325,27,2,5,9,3,7,1,4,1,40,1,0
326,27,2,11,10,3,2,3,1,1,40,0,0
327,35,2,2,13,0,11,1,4,0,65,1,0
328,31,3,2,13,1,3,1,4,1,60,1,0
329,27,0,5,9,3,2,1,2,1,40,1,0
330,28,0,0,12,3,0,1,4,0,40,1,0
331,42,2,5,9,0,13,1,4,1,46,1,0
332,44,2,11,10,2,3,1,4,1,45,0,0
333,41,2,2,13,0,11,1,4,1,56,1,0
334,28,2,2,13,3,12,1,4,0,35,1,0
335,41,0,5,9,3,0,1,4,0,40,1,0
336,35,2,6,6,4,7,1,2,0,40,1,0
337,58,2,7,14,0,0,1,4,0,45,1,0
338,40,2,5,9,0,6,1,4,1,48,1,0
339,31,2,1,11,3,13,3,4,1,60,1,0
340,30,2,5,9,3,11,1,4,0,40,1,0
341,32,2,11,10,2,12,1,0,1,40,1,0
342,25,2,11,10,3,0,1,4,1,40,1,0
343,34,2,5,9,3,13,3,4,1,40,1,0
344,56,2,11,10,0,3,1,4,0,40,1,0
345,45,2,5,9,0,7,1,4,1,40,1,0
346,50,2,5,9,3,0,1,4,1,40,1,0
347,27,2,6,6,3,11,2,4,1,40,1,0
348,51,2,11,10,1,11,0,4,1,40,1,1
349,40,2,0,12,1,12,0,4,1,60,1,1
350,41,2,7,14,1,3,0,4,1,65,1,1
351,49,2,7,14,1,3,0,4,1,45,1,1
352,37,2,1,11,1,2,0,4,1,40,1,1
353,36,3,2,13,1,3,5,4,0,45,1,1
354,35,2,10,15,1,9,0,4,1,80,1,1
355,29,3,5,9,1,11,5,4,0,25,1,1
356,50,2,2,13,1,9,5,4,0,40,1,1
357,46,2,2,13,1,11,0,4,1,40,1,1
358,44,3,5,9,1,3,0,4,1,45,1,1
359,42,0,7,14,1,3,0,4,1,40,1,1
360,38,0,10,15,1,9,0,4,1,50,1,1
361,45,2,2,13,1,3,0,4,1,55,1,1
362,43,0,7,14,1,3,0,4,1,60,1,1
363,47,3,10,15,1,9,0,4,1,60,1,1
364,58,3,10,15,1,9,0,4,1,50,1,1
365,48,2,10,15,1,12,0,4,1,40,1,1
366,42,0,2,13,1,3,0,4,1,48,1,1
367,55,2,7,14,1,3,0,4,1,50,1,1
368,51,2,6,6,1,11,0,4,1,40,1,1
369,32,2,7,14,1,3,0,2,1,40,1,1
370,45,0,2,13,1,3,0,4,1,50,1,1
371,56,2,7,14,1,2,0,4,1,44,1,1
372,38,2,7,14,1,3,0,4,1,60,1,1
373,45,2,1,11,1,11,0,4,1,50,1,1
374,49,2,7,14,1,9,5,4,0,40,1,1
375,36,2,5,9,1,9,0,4,1,40,1,1
376,49,2,7,14,1,3,0,4,1,40,1,1
377,30,2,3,16,1,9,0,1,1,40,0,1
378,42,3,10,15,1,9,0,4,1,50,1,1
379,55,2,7,14,1,3,0,4,1,40,1,1
380,34,2,2,13,1,3,0,4,1,45,1,1
381,54,2,3,16,1,9,0,4,1,50,1,1
382,42,3,2,13,1,3,0,4,1,70,1,1
383,25,0,2,13,1,9,0,4,1,40,1,1
384,55,3,5,9,1,3,0,4,1,45,1,1
385,58,0,7,14,1,9,0,4,1,50,1,1
386,62,2,5,9,1,13,0,4,1,60,1,1
387,43,3,10,15,1,9,0,4,1,40,1,1
388,57,0,7,14,1,9,5,2,0,40,1,1
389,42,3,3,16,1,9,0,4,1,60,1,1
390,63,3,2,13,1,9,0,1,1,32,0,1
391,47,3,10,15,1,9,0,4,1,50,1,1
392,37,2,2,13,1,3,0,4,1,50,1,1
393,40,2,2,13,1,11,0,4,1,60,1,1
394,43,2,2,13,1,9,0,4,1,50,1,1
395,43,0,10,15,1,9,0,4,1,70,1,1
396,41,3,10,15,1,9,0,4,1,60,1,1
397,32,2,10,15,1,9,0,4,1,60,1,1
398,47,2,2,13,1,11,0,4,1,40,1,1
399,39,0,11,10,1,5,0,4,1,60,1,1
400,53,2,11,10,1,3,0,4,1,40,1,1
401,34,2,2,13,1,3,0,4,1,45,1,1
402,36,2,2,13,1,3,0,4,1,40,1,1
403,47,0,7,14,1,3,0,4,1,41,1,1
404,52,2,1,11,1,3,0,4,1,45,1,1
405,40,3,10,15,1,9,0,0,1,60,1,1
406,42,3,2,13,1,9,0,4,1,40,1,1
407,51,2,7,14,1,10,0,4,1,40,1,1
408,55,2,7,14,1,12,0,4,1,20,1,1
409,38,2,5,9,1,11,0,4,1,99,1,1
410,52,2,11,10,1,3,0,4,1,50,1,1
411,60,0,5,9,1,12,0,4,1,40,1,1
412,55,2,1,11,1,9,0,4,1,50,0,1
413,47,0,7,14,1,3,0,2,1,50,1,1
414,46,2,7,14,1,12,0,4,1,40,1,1
415,35,2,7,14,1,9,0,4,1,45,1,1
416,59,3,2,13,1,3,0,4,1,50,1,1
417,57,2,7,14,1,9,0,4,1,45,1,1
418,46,2,11,10,1,9,0,4,1,50,1,1
419,46,0,7,14,1,3,0,4,1,40,1,1
420,52,2,5,9,1,2,0,4,1,40,1,1
421,45,2,3,16,1,9,5,4,0,30,1,1
422,37,2,2,13,1,12,0,4,1,40,1,1
423,46,2,7,14,1,3,0,4,1,45,1,1
424,44,2,2,13,1,9,0,2,1,50,1,1
425,45,2,1,11,1,3,0,4,1,50,1,1
426,43,2,5,9,1,6,0,4,1,52,1,1
427,54,0,7,14,1,9,0,4,1,40,1,1
428,50,2,7,14,1,9,0,4,1,40,1,1
429,51,2,2,13,1,3,0,4,1,60,1,1
430,45,2,2,13,1,9,0,4,1,40,1,1
431,36,2,7,14,1,9,0,4,1,60,1,1
432,27,2,2,13,1,3,0,4,1,50,1,1
433,36,2,2,13,1,11,0,4,1,35,1,1
434,53,2,7,14,1,3,0,4,1,55,1,1
435,51,0,7,14,1,9,0,4,1,35,1,1
436,28,2,2,13,1,9,5,4,0,24,1,1
437,47,3,11,10,1,2,0,4,1,40,1,1
438,45,2,2,13,1,3,0,4,1,60,1,1
439,45,0,7,14,1,9,5,4,0,35,1,1
440,39,3,10,15,1,9,0,4,1,50,1,1
441,39,2,2,13,1,3,0,4,1,40,1,1
442,55,3,7,14,1,9,0,4,1,40,1,1
443,62,2,11,10,1,3,0,4,1,98,1,1
444,49,2,2,13,1,11,0,1,1,50,0,1
445,53,3,7,14,1,3,0,4,1,40,1,1
446,31,2,7,14,1,3,0,4,1,48,1,1
447,42,3,5,9,1,3,0,4,1,60,0,1
448,39,2,2,13,1,13,0,4,1,45,0,1
449,60,3,2,13,1,3,0,4,1,45,1,1
450,26,2,10,15,1,9,0,4,1,40,1,1
451,37,2,7,14,1,3,0,4,1,40,1,1
452,45,0,2,13,1,3,0,4,1,60,1,1
453,37,2,0,12,1,11,0,4,1,45,1,1
454,32,2,2,13,1,11,0,4,1,45,1,1
455,39,3,5,9,1,3,0,4,1,40,1,1
456,58,3,6,6,1,2,5,4,0,35,1,1
457,45,2,7,14,1,3,0,4,1,43,1,1
458,41,2,2,13,1,9,0,4,1,45,1,1
459,36,3,5,9,1,4,0,4,1,65,1,1
460,51,0,7,14,1,9,0,4,1,60,1,1
461,39,2,11,10,1,3,0,4,1,62,1,1
462,56,3,10,15,1,9,0,4,1,50,1,1
463,53,0,5,9,1,0,0,2,1,40,1,1
464,40,3,1,11,1,9,5,4,0,15,1,1
465,57,2,7,14,1,3,0,2,1,40,1,1
466,50,0,5,9,1,2,0,4,1,35,1,1
467,34,2,10,15,1,9,0,4,1,55,1,1
468,35,2,2,13,1,3,5,4,0,30,1,1
469,30,3,5,9,1,9,0,4,1,15,1,1
470,53,0,7,14,1,9,0,4,1,55,1,1
471,31,0,3,16,1,9,0,4,1,70,1,1
472,37,2,2,13,1,3,0,4,1,60,1,1
473,34,2,2,13,1,11,0,4,1,50,1,1
474,36,2,7,14,1,9,0,4,1,50,1,1
475,40,2,2,13,1,3,0,4,1,50,1,1
476,51,2,11,10,1,2,0,4,1,60,1,1
477,33,2,5,9,1,11,0,4,1,45,1,1
478,40,2,3,16,1,9,5,4,0,20,1,1
479,50,3,8,4,1,2,0,4,1,63,1,1
480,46,3,7,14,1,11,0,4,1,60,1,1
481,54,2,3,16,1,3,0,4,1,50,1,1
482,39,2,7,14,1,9,5,4,0,24,1,1
483,54,3,11,10,1,11,0,4,1,40,1,1
484,31,2,3,16,1,9,0,4,1,99,1,1
485,51,2,7,14,1,3,0,4,1,50,1,1
486,55,2,3,16,1,9,0,4,1,55,1,1
487,36,2,7,14,1,0,0,4,1,40,0,1
488,41,3,2,13,1,3,0,1,1,60,0,1
489,56,3,11,10,1,3,5,4,0,50,1,1
490,38,2,2,13,1,12,0,4,1,40,1,1
491,47,2,5,9,1,2,0,4,1,45,1,1
492,39,0,7,14,1,9,0,4,1,45,1,1
493,59,2,2,13,1,3,0,4,1,50,1,1
494,54,2,3,16,1,3,0,4,1,43,1,1
495,54,3,2,13,1,3,5,4,0,35,1,1
496,31,2,2,13,1,3,0,4,1,55,1,1
497,59,3,11,10,1,3,0,4,1,48,1,1
498,46,2,7,14,1,9,0,4,1,50,1,1
499,57,2,3,16,1,12,0,4,1,40,0,1
500,36,2,7,14,1,9,5,4,0,44,1,1
501,44,2,2,13,1,6,0,4,1,40,1,1
502,33,2,10,15,1,9,0,4,1,50,1,1
503,54,2,11,10,1,12,0,4,1,18,1,1
504,55,2,7,14,1,3,0,4,1,60,1,1
505,36,2,7,14,1,11,0,4,1,50,1,1
506,49,0,10,15,1,9,5,4,0,60,1,1
507,41,2,10,15,1,9,0,4,1,50,1,1
508,40,2,3,16,1,9,0,1,1,45,0,1
509,43,2,2,13,1,3,0,4,1,50,1,1
510,39,0,7,14,1,9,5,4,0,20,1,1
511,26,2,2,13,1,3,5,4,0,40,1,1
512,48,2,10,15,1,9,0,4,1,45,1,1
513,43,2,2,13,1,3,0,4,1,50,1,1
514,42,3,2,13,1,3,0,4,1,60,1,1
515,36,2,2,13,1,9,0,4,1,45,1,1
516,39,2,7,14,3,3,1,4,1,40,1,0
517,21,2,11,10,3,9,3,1,1,40,1,0
518,23,2,11,10,3,11,1,4,0,40,1,0
519,47,2,5,9,0,3,1,4,0,40,1,0
520,30,2,5,9,3,0,2,4,0,40,1,0
521,35,2,11,10,3,6,1,4,1,40,1,0
522,26,2,11,10,3,0,1,4,0,40,1,0
523,26,2,2,13,3,3,1,4,1,55,1,0
524,41,0,7,14,0,9,1,4,1,40,1,0
525,30,0,11,10,3,10,1,2,1,40,1,0
526,28,2,5,9,2,2,1,4,1,40,1,0
527,56,2,5,9,4,11,1,4,0,40,1,0
528,35,2,5,9,3,6,3,4,1,40,1,0
529,34,2,1,11,3,12,1,4,0,40,1,0
530,29,2,5,9,3,2,1,4,1,35,1,0
531,23,2,0,12,3,0,3,4,0,20,1,0
532,24,0,5,9,3,0,1,4,0,40,1,0
533,62,2,11,10,0,0,1,4,1,40,1,0
